
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..utils.py:44 GlobalVariable.__str__  134..  0.014986  0.130310  0.000010
..roc.py:41 VariableLifetime.usedefs  66     0.000118  0.130012  0.001970
..re/analysis.py:23 compute_use_defs  66     0.011081  0.129895  0.001968
..matplotlib/axis.py:1156 XAxis.draw  4      0.000137  0.129034  0.032259
..6 JITCodeLibrary._ensure_finalized  39/28  0.000043  0.127253  0.003263
..gen.py:673 JITCodeLibrary.finalize  6      0.000162  0.127218  0.021203
..es/_base.py:62 AxesSubplot.wrapper  30/18  0.000080  0.121232  0.004041
..s.py:219 GlobalVariable._to_string  4260   0.022363  0.118845  0.000028
..s/matplotlib/pyplot.py:990 subplot  2      0.000036  0.118371  0.059186
../figure.py:1254 Figure.add_subplot  2      0.000052  0.118183  0.059092
..ubplots.py:18 AxesSubplot.__init__  2      0.000030  0.117714  0.058857
..4 IntrinsicCallConstraint.__call__  87     0.000578  0.117140  0.001346
../_base.py:434 AxesSubplot.__init__  2      0.000161  0.116314  0.058157
../axis.py:1219 XAxis.get_ticklabels  4      0.000013  0.116232  0.029058
...py:1205 XAxis.get_majorticklabels  4      0.000019  0.116219  0.029055
..axis.py:1375 XAxis.get_major_ticks  24     0.000219  0.116161  0.004840
..py:592 OverloadTemplate_eq.generic  228    0.000766  0.114200  0.000501
..g.py:268 RendererAgg._get_agg_font  165    0.000933  0.112805  0.000684
..r/lib/python3.6/re.py:286 _compile  421    0.001085  0.109158  0.000259
..ns.py:521 Dispatcher.get_call_type  17     0.000113  0.108645  0.006391
/usr/lib/python3.6/re.py:231 compile  61     0.000096  0.108486  0.001778
..00 CPUDispatcher.get_call_template  17     0.000136  0.107489  0.006323
..thon3.6/sre_compile.py:557 compile  45     0.000416  0.107069  0.002379
..matplotlib/artist.py:1086 Text.set  348    0.001036  0.104261  0.000300
..:681 OverloadTemplate_eq._get_impl  228    0.000722  0.103618  0.000454
..u.py:197 CPUContext.get_executable  2      0.000052  0.102821  0.051410
..odeLibrary.get_pointer_to_function  4      0.000028  0.102432  0.025608
..94 OverloadTemplate_eq._build_impl  11     0.000082  0.101752  0.009250
..xis.py:1089 XAxis._get_tick_bboxes  20     0.000072  0.100261  0.005013
..matplotlib/axis.py:1091 <listcomp>  20     0.000370  0.099976  0.004999
..ackages/pyparsing.py:5503 <lambda>  177..  0.097481  0.097481  0.000001
..e/cpu.py:125 CPUContext.build_list  8      0.000023  0.096221  0.012028
../cpython/listobj.py:448 build_list  8      0.000134  0.096198  0.012025
..thtext.py:659 BakomaFonts.__init__  2      0.000037  0.093769  0.046884
..ython3.6/posixpath.py:391 realpath  436    0.001459  0.090941  0.000209
..re/lowering.py:1258 Lower.storevar  174    0.001346  0.088207  0.000507
..s/pyparsing.py:3294 Regex.__init__  20     0.000172  0.087660  0.004383
..r.py:1210 FontManager.score_weight  6400   0.021599  0.087577  0.000014
..ing/context.py:151 Context.refresh  24     0.000080  0.086700  0.003612
..axes/_base.py:1038 AxesSubplot.cla  2      0.000216  0.085030  0.042515
..otlib/axis.py:2301 YAxis._get_tick  22     0.000108  0.083921  0.003815
..plotlib/axis.py:489 YTick.__init__  22     0.000450  0.083800  0.003809
..umba/core/ir.py:594 Expr.list_vars  2866   0.003638  0.083053  0.000029
..y/optimize/optimize.py:20 <module>  1      0.000061  0.081200  0.081200
..py/optimize/_numdiff.py:1 <module>  1      0.000033  0.078986  0.078986
..pace.py:16 SpaceEnriched1DIGA.mesh  129..  0.075313  0.075313  0.000001
..3.6/posixpath.py:400 _joinrealpath  436    0.012096  0.075285  0.000173
..e/lowering.py:736 Lower.lower_call  28     0.000464  0.074188  0.002650
..s.py:219 NopythonRewrites.run_pass  6      0.000115  0.071160  0.011860
..ng.py:976 Lower._lower_call_normal  28     0.000358  0.071088  0.002539
../lowering.py:562 Lower.lower_binop  26     0.000979  0.070958  0.002729
..tplotlib/axis.py:56 XTick.__init__  40     0.002166  0.070525  0.001763
..otlib/axis.py:2011 XAxis._get_tick  18     0.000091  0.070307  0.003906
..plotlib/axis.py:416 XTick.__init__  18     0.000384  0.070205  0.003900
..uctions.py:13 InsertValue.__init__  4134   0.015425  0.069824  0.000017
..gistry.py:54 RewriteRegistry.apply  12     0.001640  0.069759  0.005813
../axis.py:815 XAxis.set_tick_params  16     0.000176  0.068845  0.004303
..s/matplotlib/pyplot.py:1666 yticks  2      0.000046  0.068660  0.034330
..ore/base.py:267 CPUContext.refresh  18     0.000230  0.068522  0.003807
..lib/python3.6/inspect.py:2992 bind  1128   0.001842  0.067977  0.000060
..ba/cpython/listobj.py:313 allocate  8      0.000084  0.067650  0.008456
..CodeLibrary._finalize_final_module  6      0.000088  0.067318  0.011220
...6/inspect.py:2861 Signature._bind  1128   0.037937  0.066136  0.000059
..se/linalg/__init__.py:109 <module>  1      0.000046  0.064803  0.064803
..e/base.py:1164 _wrap_impl.__call__  65/62  0.000280  0.064565  0.000993
..es/numba/core/base.py:1193 wrapper  65/62  0.000215  0.063810  0.000982
..cpython/listobj.py:226 allocate_ex  8      0.000500  0.061627  0.007703
..197 NRTContext._call_incref_decref  503    0.002426  0.057528  0.000114
..s.py:79 TranslateByteCode.run_pass  6      0.000036  0.056014  0.009336
..python3.6/sre_compile.py:542 _code  45     0.000203  0.055925  0.001243
..reter.py:336 Interpreter.interpret  6      0.000545  0.055916  0.009319
..ues.py:212 GlobalVariable.__init__  4753   0.010999  0.055860  0.000012
..s/matplotlib/text.py:667 Text.draw  73     0.001547  0.055179  0.000756
..s/matplotlib/pyplot.py:1606 xticks  2      0.000028  0.054205  0.027102
..Context.load_additional_registries  24     0.000325  0.054102  0.002254
..xes/_base.py:2851 AxesSubplot.grid  4      0.000040  0.054073  0.013518
..matplotlib/axis.py:1401 XAxis.grid  8      0.000075  0.054023  0.006753
..r.py:1131 FontManager.score_family  6400   0.027894  0.052657  0.000008
..nalg/isolve/__init__.py:1 <module>  1      0.000032  0.052103  0.052103
..es.py:1502 ReconstructSSA.run_pass  6      0.000100  0.050775  0.008462
..b/python3.6/sre_parse.py:844 parse  45     0.000327  0.050274  0.001117
../axis.py:607 _LazyTickList.__get__  12/8   0.000052  0.049919  0.004160
..lowering.py:1234 Lower._alloca_var  363    0.000636  0.049544  0.000136
..hon3.6/sre_parse.py:407 _parse_sub  80/45  0.002281  0.049056  0.000613
.._GeneratorContextManager.__enter__  286..  0.003916  0.048914  0.000017
..ng/npydecl.py:171 Template.generic  172    0.000917  0.048524  0.000282
..ing/npydecl.py:96 Template.generic  190    0.002328  0.048049  0.000253
..ext.py:180 NRTContext.get_meminfos  107..  0.005500  0.047994  0.000045
.. JITCodeLibrary._finalize_specific  6      0.000062  0.047457  0.007910
..CodeLibrary._optimize_final_module  6      0.000087  0.046903  0.007817
..agers.py:203 ModulePassManager.run  12     0.000044  0.046643  0.003887
..es/matplotlib/pyplot.py:555 figure  1      0.000043  0.046359  0.046359
..py:192 InlineClosureLikes.run_pass  6      0.000133  0.046303  0.007717
..b/pyplot.py:312 new_figure_manager  1      0.000008  0.046222  0.046222
..d_bases.py:3487 new_figure_manager  1      0.000018  0.046195  0.046195
..wering.py:1301 Lower.alloca_lltype  164    0.000609  0.046134  0.000281
..e/context.py:220 NRTContext.decref  387    0.000560  0.045835  0.000118
..96 new_figure_manager_given_figure  1      0.000023  0.045376  0.045376
...py:364 Context.resolve_value_type  267    0.001667  0.045330  0.000170
..:2343 YAxis._update_label_position  5      0.000102  0.045092  0.009018
../python3.6/sre_parse.py:470 _parse  787..  0.015107  0.044683  0.000057
..core/lowering.py:1321 Lower.decref  363    0.000647  0.044410  0.000122
..thon3.6/sre_compile.py:64 _compile  886..  0.017358  0.044348  0.000050
..b/axis.py:1016 XAxis._update_ticks  20     0.001629  0.044227  0.002211
..:2051 XAxis._update_label_position  5      0.000117  0.043893  0.008779
../pyparsing.py:1901 And.parseString  27/25  0.000133  0.043074  0.001595
..lib/artist.py:972 Rectangle.update  620    0.009640  0.043059  0.000069
..es.py:232 GlobalVariable._set_name  4836   0.007649  0.042814  0.000009
../pyparsing.py:1835 And._parseCache  109..  0.005027  0.042598  0.000039
...py:28 SpaceEnriched1DIGA.num_dofs  64847  0.042419  0.042419  0.000001
..yparsing.py:1647 And._parseNoCache  103..  0.004207  0.041917  0.000040
...py:1097 CPUContext.get_abi_sizeof  76     0.000361  0.041689  0.000549
..on3.6/abc.py:196 __subclasscheck__  304..  0.014500  0.041391  0.000014
..es/pyparsing.py:4049 And.parseImpl  266..  0.001027  0.041377  0.000156
..otlib/lines.py:269 Line2D.__init__  130    0.004252  0.041221  0.000317
..e.py:19 SpaceEnriched1DIGA.element  64849  0.040905  0.040905  0.000001
..324 YAxis._get_tick_boxes_siblings  5      0.000052  0.040679  0.008136
../matplotlib/axis.py:283 XTick.draw  28     0.000327  0.040663  0.001452
..:48 LiteralStructType.get_abi_size  76     0.000360  0.040612  0.000534
..155 PostProcessor._insert_var_dels  24     0.000069  0.040507  0.001688
..:175 PostProcessor._patch_var_dels  24     0.006508  0.040437  0.001685
..032 XAxis._get_tick_boxes_siblings  5      0.000076  0.040071  0.008014
..es/matplotlib/image.py:1502 imsave  1      0.000042  0.040024  0.040024
..kages/PIL/Image.py:2153 Image.save  1      0.000028  0.039794  0.039794
..ba/core/typing/typeof.py:25 typeof  267    0.001368  0.039566  0.000148
..stobj.py:162 ListInstance._payload  101    0.000158  0.039076  0.000387
../codegen.py:1030 JitEngine.wrapper  11     0.000032  0.039000  0.003545
..hon/listobj.py:22 get_list_payload  101    0.000877  0.038918  0.000385
..87 ExecutionEngine.finalize_object  6      0.000022  0.038648  0.006441
..linalg/isolve/lgmres.py:4 <module>  1      0.000017  0.038532  0.038532
..tlib/font_manager.py:1411 get_font  177    0.001375  0.037818  0.000214
..py/linalg/__init__.py:192 <module>  1      0.000100  0.037817  0.037817
...py:1192 FontManager.score_stretch  6400   0.026992  0.037646  0.000006
..ralStructType._get_ll_pointer_type  76     0.001264  0.035923  0.000473
..nding/ffi.py:73 _LLVMLock.__exit__  1711   0.003740  0.035836  0.000021
../numba/core/event.py:193 broadcast  3734   0.008162  0.035654  0.000010
..lib/python3.6/posixpath.py:75 join  5045   0.017997  0.035546  0.000007
..ir/_utils.py:16 NameScope.register  4836   0.009551  0.035165  0.000007
..py:33 DataModelManager.__getitem__  2052   0.002780  0.034411  0.000017
..666 JITCodeLibrary.add_llvm_module  7      0.000050  0.034368  0.004910
..ager.py:22 DataModelManager.lookup  220..  0.003635  0.034301  0.000016
..ib/axis.py:341 XTick._apply_params  28     0.000563  0.034019  0.001215
..mba/core/ssa.py:26 reconstruct_ssa  6      0.000026  0.033581  0.005597
..ages/numba/core/ssa.py:36 _run_ssa  6      0.000089  0.033555  0.005593
..xt.py:418 Context.install_registry  240    0.005722  0.033511  0.000140
...py:163 ConditionalBranch.__init__  259    0.029010  0.033390  0.000129
..ba/core/cgutils.py:362 alloca_once  255    0.002079  0.033361  0.000131
..JITCodeLibrary._optimize_functions  7      0.000494  0.032549  0.004650
..text.py:405 Context._load_builtins  24     0.000136  0.032518  0.001355
..core/lowering.py:1282 Lower.delvar  189    0.001398  0.032331  0.000171
..es.py:466 CallTemplate(impl).apply  104    0.000239  0.032060  0.000308
../ir/builder.py:833 Builder.cbranch  109    0.000414  0.031901  0.000293
../templates.py:266 Template._select  106    0.000326  0.031826  0.000300
../numba/core/ir_utils.py:1495 guard  545..  0.000821  0.031564  0.000058
..ase.py:540 CPUContext.get_function  89/77  0.000767  0.031548  0.000354
..xt.py:582 Context.resolve_overload  106    0.004577  0.031499  0.000297
../numba/core/event.py:388 end_event  1867   0.004752  0.031453  0.000017
..e/base.py:47 OverloadSelector.find  255    0.000537  0.031450  0.000123
..rsing.py:4779 ZeroOrMore.parseImpl  53/48  0.000167  0.031392  0.000592
..rsing.py:4686 ZeroOrMore.parseImpl  59/48  0.000142  0.031239  0.000529
..ding/ffi.py:67 _LLVMLock.__enter__  1711   0.003654  0.031103  0.000018
..es/numba/core/base.py:1224 exit_fn  1711   0.002400  0.031080  0.000018
..py:54 GlobalVariable.get_reference  100..  0.011907  0.030378  0.000003
..ll.py:69 InlineClosureCallPass.run  6      0.000672  0.030360  0.005060
..:393 WeakKeyDictionary.__getitem__  2470   0.006932  0.030289  0.000012
heat_conduction.py:135 evaluate_vec   2      0.001910  0.030181  0.015090
..ger.py:680 FontProperties.__init__  325    0.004039  0.029895  0.000092
..ses.py:435 IRLegalization.run_pass  6      0.000060  0.029668  0.004945
..s/abstract.py:117 Omitted.__hash__  772..  0.016634  0.029527  0.000004
..nal>:743 SourceFileLoader.get_code  207    0.001913  0.029310  0.000142
..on/listobj.py:60 ListInstance._gep  58     0.000163  0.029034  0.000501
..oc.py:51 VariableLifetime.deadmaps  66     0.000262  0.028890  0.000438
..core/types/abstract.py:60 __call__  113..  0.003560  0.028836  0.000025
../base.py:54 OverloadSelector._find  69     0.000244  0.028777  0.000417
..s/PIL/PngImagePlugin.py:1192 _save  1      0.000059  0.028736  0.028736
..sses.py:181 AnnotateTypes.run_pass  6      0.000141  0.028582  0.004764
..ackages/PIL/ImageFile.py:478 _save  1      0.000074  0.028481  0.028481
..portlib._bootstrap>:870 _find_spec  264    0.002677  0.028328  0.000107
..tlib/mathtext.py:2598 Parser.parse  2      0.000022  0.028007  0.014004
..:371 FigureManagerGTK3Agg.__init__  1      0.006137  0.027965  0.027965
..parsing.py:4460 Suppress.parseImpl  371..  0.000660  0.027770  0.000075
..27 ExtensionFileLoader.exec_module  49/44  0.000146  0.027349  0.000558
..tils.py:2179 check_and_legalize_ir  6      0.000031  0.027280  0.004547
..rt.py:354 ufunc_find_matching_loop  199    0.004877  0.027112  0.000136
..packages/pyparsing.py:1313 wrapper  86/72  0.000223  0.027066  0.000315
..y:280 HighlightColorScheme._markup  389    0.003590  0.026943  0.000069
..y:233 Lower.create_cpython_wrapper  1      0.000009  0.026916  0.026916
.. CPUContext.create_cpython_wrapper  1      0.000029  0.026907  0.026907
..08 OverloadSelector._match_arglist  834    0.002970  0.026843  0.000032
..on/listobj.py:56 ListInstance.data  58     0.000150  0.026726  0.000461
..verloadSelector._select_compatible  69     0.000755  0.026633  0.000386
..es.py:225 GenericRewrites.run_pass  6      0.000066  0.026374  0.004396
..s/numba/core/base.py:1221 enter_fn  1711   0.002509  0.026324  0.000015
..tlib/artist.py:213 Rectangle.stale  919..  0.014070  0.026321  0.000003
..umba/core/event.py:374 start_event  1867   0.004544  0.026032  0.000014
..te/ir/builder.py:768 Builder.store  856    0.004288  0.025982  0.000030
..athtext.py:2671 Parser.math_string  2      0.000007  0.025916  0.012958
..py:295 HighlightColorScheme.errmsg  361    0.000604  0.025788  0.000071
..ging/__init__.py:1286 Logger.debug  7710   0.009963  0.025710  0.000003
..tplotlib/legend.py:588 Legend.draw  1      0.000035  0.025661  0.025661
..inding/module.py:11 parse_assembly  95     0.001121  0.025459  0.000268
..event.py:227 TimingListener.notify  4330   0.010294  0.025376  0.000006
..JITCodeLibrary.add_linking_library  24     0.000077  0.025157  0.001048
